i 1 1251 327
i 2 1379 122
i 1 1443 199
i 2 1506 60
i -2 1821 60
i -1 1885 199
i 1 2594 327
i 2 2786 60
i -2 3421 122
i -1 3550 327
i -2 3166 250
i -1 3262 483
i -1 3966 547
i -2 3806 250
b 2816 336 5632 32
b 1424 208 96 32
b 1664 144 320 32
b 1952 208 192 32
b 3056 144 544 32
b 3072 240 64 160
b 3376 208 96 32
b 3680 176 192 32
b 3648 224 128 64
b 3662 288 96 64
b 3822 208 96 32
b 4112 144 416 32
b 4528 208 352 32 
b 5472 272 64 32
b 5568 208 64 32
b 5616 160 32 320
b 3296 560 448 32
b 3296 496 64 32
b 3616 560 64 32
b 3826 560 288 32
b 4064 624 64 32
b 4000 688 64 32

